X,Y,OBJECTID,TRAPTYPE,ATTRACTANTSUSED,TRAPID,LATITUDE,LONGITUDE,ADDRESS,TOWN,STATE,COUNTY,TRAPSITE,TRAPSET,SETTIMEOFDAY,TRAPCOLLECT,COLLECTTIMEOFDAY,GENUS,SPECIES,LIFESTAGE,EGGSCOLLECTED,LARVAECOLLECTED,PUPAECOLLECTED,FEMALESCOLLECTED,MALESCOLLECTED,UNKNOWNCOLLECTED,REPORTDATE,GIS_ID,GLOBALID,CREATOR,CREATED,EDITOR,EDITED
-8575849.188,4719564.281,1,ABC Trap,CO2 with light,4B,38.985287,-77.038164,1640 Kalmia Rd. NW,Washington,DC,District of Columbia,School,2016/04/25 04:00:00+00,Morning,2016/04/27 04:00:00+00,Morning,Culex,pipiens,Adult,No,No,No,4,3,0,2017/12/01 19:59:00+00,temp_798,{C1901EA1-CE48-47B6-943D-E96E7100481A},,,,
-8575849.188,4719564.281,2,Gravid Trap,Hay or grass infusion,4B,38.985287,-77.038164,1640 Kalmia Rd. NW,Washington,DC,District of Columbia,School,2016/06/13 04:00:00+00,Morning,2016/06/15 04:00:00+00,Morning,Culex,pipiens,Adult,No,No,No,50,5,0,2017/12/05 18:08:00+00,temp_1825,{EC74BE89-4EA8-42D6-A7F4-3F3BDFC87BEF},,,,
-8575849.188,4719564.281,3,ABC Trap,CO2 with light,4B,38.985287,-77.038164,1640 Kalmia Rd. NW,Washington,DC,District of Columbia,School,2016/06/06 04:00:00+00,Morning,2016/06/08 04:00:00+00,Morning,Culex,pipiens,Adult,No,No,No,2,0,0,2017/12/05 16:13:00+00,temp_1692,{F577430A-0E36-4283-9F24-8F5F9BEC551A},,,,
-8575849.188,4719564.281,4,Gravid Trap,Hay or grass infusion,4B,38.985287,-77.038164,1640 Kalmia Rd. NW,Washington,DC,District of Columbia,School,2016/05/09 04:00:00+00,Afternoon,2016/05/11 04:00:00+00,Afternoon,Culex,pipiens,Adult,No,No,No,3,0,0,2017/12/04 18:40:00+00,temp_500,{61E5E55E-97AC-47B8-9160-B353346D3577},,,,
-8575849.188,4719564.281,5,Gravid Trap,Hay or grass infusion,4B,38.985287,-77.038164,1640 Kalmia Rd. NW,Washington,DC,District of Columbia,School,2016/07/18 04:00:00+00,Morning,2016/07/20 04:00:00+00,Morning,Culex,pipiens,Adult,No,No,No,23,1,0,2017/12/07 15:40:00+00,temp_1635,{0DF0BEF3-5BE9-4CB0-A9A9-45FE96294A02},,,,
-8575849.188,4719564.281,6,Gravid Trap,Hay or grass infusion,4B,38.985287,-77.038164,1640 Kalmia Rd. NW,Washington,DC,District of Columbia,School,2016/10/17 04:00:00+00,Morning,2016/10/19 04:00:00+00,Morning,Culex,pipiens,Adult,No,No,No,16,11,0,2017/12/12 20:23:00+00,temp_1178,{15FFDBD8-F948-4AA4-9899-B0FA81083DDB},,,,
-8575849.188,4719564.281,7,Gravid Trap,Hay or grass infusion,4B,38.985287,-77.038164,1640 Kalmia Rd. NW,Washington,DC,District of Columbia,School,2016/08/01 04:00:00+00,Morning,2016/08/03 04:00:00+00,Morning,Culex,pipiens,Adult,No,No,No,14,0,0,2017/12/07 21:38:00+00,temp_1470,{B0E2F043-C3F2-4B4A-A2C6-E6968EBF6ED3},,,,
-8575849.188,4719564.281,8,Gravid Trap,Hay or grass infusion,4B,38.985287,-77.038164,1640 Kalmia Rd. NW,Washington,DC,District of Columbia,School,2016/09/26 04:00:00+00,Morning,2016/09/28 04:00:00+00,Morning,Culex,pipiens,Adult,No,No,No,19,16,0,2017/12/12 15:58:00+00,temp_1842,{DFA66D9A-06B7-4E7A-83A8-04B50E85B6F2},,,,
-8575849.188,4719564.281,9,Gravid Trap,Hay or grass infusion,4B,38.985287,-77.038164,1640 Kalmia Rd. NW,Washington,DC,District of Columbia,School,2016/09/26 04:00:00+00,Morning,2016/09/28 04:00:00+00,Morning,Aedes,sp.,Adult,No,No,No,7,0,0,2017/12/12 15:58:00+00,temp_1843,{4B6CF83C-4ACC-439E-A302-97EEC6E2B978},,,,
-8575849.188,4719564.281,10,Gravid Trap,Hay or grass infusion,4B,38.985287,-77.038164,1640 Kalmia Rd. NW,Washington,DC,District of Columbia,School,2016/07/25 04:00:00+00,Morning,2016/07/27 04:00:00+00,Morning,Culex,pipiens,Adult,No,No,No,12,0,0,2017/12/07 19:10:00+00,temp_1079,{049B5F4E-9466-4F86-943A-227A5A732BB1},,,,
-8575849.188,4719564.281,11,Gravid Trap,Hay or grass infusion,4B,38.985287,-77.038164,1640 Kalmia Rd. NW,Washington,DC,District of Columbia,School,2016/05/16 04:00:00+00,Morning,2016/05/18 04:00:00+00,Morning,Culex,pipiens,Adult,No,No,No,24,0,0,2017/12/04 21:26:00+00,temp_707,{5A09A666-80B1-499B-8544-E18AF64EAB32},,,,
-8575849.188,4719564.281,12,ABC Trap,CO2 with light,4B,38.985287,-77.038164,1640 Kalmia Rd. NW,Washington,DC,District of Columbia,School,2016/05/23 04:00:00+00,Morning,2016/05/25 04:00:00+00,Morning,Culex,pipiens,Adult,No,No,No,8,0,0,2017/12/04 22:37:00+00,temp_1087,{3C08DC79-ABD1-4D8C-815B-B75C6129183F},,,,
